route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
50205012601,DAILY,50126210,Kiserian Town,0,,5012621
50205012611,DAILY,50126111,Kiserian,1,,5012611
50205012611,DAILY,50126110,Railways,0,,5012611
50100001121,DAILY,50011121,Hazina,1,,5001112
50100001121,DAILY,50011120,BusStation,0,,5001112
60101007C11,DAILY,6007C111,Kenyatta National Hospital,1,,6007C11
60101007C11,DAILY,6007C110,Kencom,0,,6007C11
60200004611,DAILY,60046111,Kawangware,1,,6004611
60200004611,DAILY,60046110,Kencom,0,,6004611
60000004611,DAILY,60046211,Yaya Centre,1,,6004612
60000004611,DAILY,60046210,Kencom,0,,6004612
60201005611,DAILY,60056111,Kanungaga,1,,6005611
60201005611,DAILY,60056110,Railways,0,,6005611
70401000111,DAILY,70001111,Dagoretti Market,1,,7000111
70401000111,DAILY,70001110,Karen,0,,7000111
70601000211,DAILY,70002111,Dagoretti Market,1,,7000211
70601000211,DAILY,70002110,Railways,0,,7000211
70000000311,DAILY,70003111,Uthiru,1,,7000321
70000000311,DAILY,70003110,Dagoretti Corner,0,,7000321
70500004W11,DAILY,7004W111,Kaberia,1,,7004W11
70500004W11,DAILY,7004W110,Railways,0,,7004W11
70200000811,DAILY,70008111,Kibera,1,,7000811
70200000811,DAILY,70008110,Railways,0,,7000811
70201024C11,DAILY,7024C111,Hardy,1,,7024C11
70201024C11,DAILY,7024C110,Kencom,0,,7024C11
70200003211,DAILY,70032111,Ayani,1,,7003211
70200003211,DAILY,70032110,Kencom,0,,7003211
70000203311,DAILY,70033111,Ngumo,1,,7003311
70000203311,DAILY,70033110,Racecourse Road,0,,7003311
70101013301,DAILY,70033211,South B,1,,7003321
70101013301,DAILY,70033210,Ngumo,0,,7003321
70100203411,DAILY,70034111,Langata,1,,7003411
70100203411,DAILY,70034110,KNH,0,,7003411
70600010211,DAILY,70102111,Kikuyu,1,,7010211
70600010211,DAILY,70102110,Railways,0,,7010211
70000010311,DAILY,70103111,Wangige,1,,7010321
70000010311,DAILY,70103110,Dagoretti Corner,0,,7010321
70400011111,DAILY,70111111,Ngong,1,,7011111
70400011111,DAILY,70111110,Railways,0,,7011111
70400012611,DAILY,70126111,Kiserian,1,,7012611
70400012611,DAILY,70126110,Ngong,0,,7012611
70000012911,DAILY,70129111,Wangige,1,,7012911
70000012911,DAILY,70129110,Kikuyu,0,,7012911
70301000511,DAILY,70005111,Jamhuri,1,,7000511
70301000511,DAILY,70005110,Kencom,0,,7000511
80000011B11,DAILY,8011B111,Westlands,1,,8011B11
80000011B11,DAILY,8011B110,Koja,0,,8011B11
80000002311,DAILY,80023111,Kangemi,1,,8002311
80000002311,DAILY,80023110,Odeon,0,,8002311
80400003011,DAILY,80030111,Uthiru,1,,8003011
80400003011,DAILY,80030110,Odeon,0,,8003011
80200004811,DAILY,80048211,Kawangware,1,,8004821
80200004811,DAILY,80048210,Westlands,0,,8004821
80101004811,DAILY,80048111,Othaya Road,1,,8004811
80101004811,DAILY,80048110,Odeon,0,,8004811
80100048A11,DAILY,8048A111,Lavington,1,,8048A11
80100048A11,DAILY,8048A110,Odeon,0,,8048A11
80101048B11,DAILY,8048B111,Othaya Road,1,,8048B11
80101048B11,DAILY,8048B110,Odeon,0,,8048B11
80500010511,DAILY,80105111,Kikuyu,0,,8010511
80500010511,DAILY,80105110,Odeon,1,,8010511
80000114011,DAILY,80114111,Limuru,1,,8011411
80000114011,DAILY,80114110,Ngara,0,,8011411
80000115011,DAILY,80115111,Limuru,1,,8011511
80000115011,DAILY,80115110,Koja,0,,8011511
80100011811,DAILY,80118111,Wangige,1,,8011811
80100011811,DAILY,80118110,Koja,0,,8011811
80000011911,DAILY,80119111,Wangige,1,,8011911
80000011911,DAILY,80119110,Koja,0,,8011911
80000119A11,DAILY,8119A111,Gathiga,1,,8119A11
80000119A11,DAILY,8119A110,Koja,0,,8119A11
80200048C11,DAILY,8048C111,Yaya,1,,8048C11
80200048C11,DAILY,8048C110,Odeon,0,,8048C11
10000114011,DAILY,10114111,Limuru,1,,1011411
10000114011,DAILY,10114110,Ngara,0,,1011411
80000135011,DAILY,80135111,Limuru,1,,
80000135011,DAILY,80135110,Uthiru,0,,
50700014501,DAILY,50145111,Ruiru,1,,5014511
50700014501,DAILY,50145110,Bypass,0,,5014511
20700145D01,DAILY,20000721,Ruiru,1,,2000072
20700145D01,DAILY,20000720,Torrents,0,,2000072
10000107D11,DAILY,1107D111,Ruiru,1,,1107D11
10000107D11,DAILY,1107D110,Rwaka,0,,1107D11
21200017B12,DAILY,2017B121,Mwiki,1,,2017B12
21200017B12,DAILY,2017B120,Roysambu,0,,2017B12
50700033H01,DAILY,50033271,Bypass,1,,5003327
50700033H01,DAILY,50033270,Cabanas,0,,5003327
50703033J01,DAILY,50033261,Githunguri,1,,5003326
50703033J01,DAILY,50033260,Cabanas,0,,5003326
50703033C11,DAILY,5033C181,Baraka,1,,5033C18
50703033C11,DAILY,5033C180,Commercial,0,,5033C18
21100004421,DAILY,20044211,Ku,1,,2004421
21100004421,DAILY,20044210,Odeon,0,,2004421
20000004513,DAILY,20045131,Proggie,1,,2004513
20000004513,DAILY,20045130,Githurai,0,,2004513
20400005311,DAILY,20053111,Maruirui,1,,2005311
20400005311,DAILY,20053110,Roasters,0,,2005311
